product_id,title,condition,resale_price,location
L0624,HP EliteBook 850 4GB Used good condition,Used,466.0,Chennai
L0911,HP Elitebook Folio 8GB Used good condition,Used,1550.0,Chennai
L0592,Dell Inspiron 3179 4GB Refurbished good condition,Refurbished,391.95,Hyderabad
L1169,MSI PL60 7RD 8GB Like New good condition,Like New,671.2,Mumbai
L0823,MSI GL62M 7RD 8GB Like New good condition,Like New,959.2,Hyderabad
L0124,Acer Aspire 3 4GB Refurbished good condition,Refurbished,293.15,Chennai
L0179,HP Spectre x360 8GB Like New good condition,Like New,1199.2,Hyderabad
L0075,Asus FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce 8GB Like New good condition,Like New,759.2,Chennai
L1000,Acer Nitro 5 8GB Refurbished good condition,Refurbished,819.0,Chennai
L0870,Lenovo ThinkPad L570 4GB Refurbished good condition,Refurbished,685.75,Mumbai
L0879,HP ProBook 450 4GB Used good condition,Used,419.5,Bangalore
L0973,Toshiba Tecra A40-C-1DF 8GB Like New good condition,Like New,944.0,Chennai
L1227,Dell Vostro 3568 4GB Like New good condition,Like New,417.49,Hyderabad
L0883,Lenovo IdeaPad 510-15ISK 8GB Refurbished good condition,Refurbished,434.85,Bangalore
L0746,Samsung Notebook 9 16GB Used good condition,Used,824.5,Hyderabad
L0433,Lenovo Thinkpad T570 16GB Refurbished good condition,Refurbished,1589.25,Hyderabad
L0438,Lenovo ThinkPad T470s 24GB Used good condition,Used,1191.0,Chennai
L0129,HP ProBook 470 8GB Refurbished good condition,Refurbished,603.2,Bangalore
L0881,HP Pavilion x360 4GB Used good condition,Used,342.4,Mumbai
L1061,Asus Rog G752VL-GC088D 16GB Like New good condition,Like New,798.4,Bangalore
L0287,Asus VivoBook S15 8GB Refurbished good condition,Refurbished,635.05,Chennai
L0840,Asus Rog GL702VM-GC017T 16GB Like New good condition,Like New,1439.2,Mumbai
L1202,Dell Inspiron 5579 16GB Used good condition,Used,642.5,Mumbai
L0378,Asus VivoBook E403NA 4GB Refurbished good condition,Refurbished,185.9,Bangalore
L0030,"Chuwi LapBook 15.6"" 4GB Refurbished good condition",Refurbished,159.24,Hyderabad
L0350,Dell XPS 15 16GB Used good condition,Used,1013.71,Hyderabad
L0192,Xiaomi Mi Notebook 8GB Refurbished good condition,Refurbished,649.94,Bangalore
L0007,Apple Macbook Air 8GB Like New good condition,Like New,926.96,Mumbai
L1272,Lenovo IdeaPad 100S-14IBR 2GB Used good condition,Used,114.5,Bangalore
L0940,HP Omen 17-W006na 8GB Used good condition,Used,699.5,Mumbai
L1056,HP 250 G5 4GB Used good condition,Used,249.5,Chennai
L0104,Microsoft Surface Laptop 8GB Refurbished good condition,Refurbished,871.0,Hyderabad
L1259,MSI GE62 Apache 8GB Refurbished good condition,Refurbished,798.85,Bangalore
L0325,Lenovo IdeaPad 120S-14IAP 4GB Refurbished good condition,Refurbished,189.8,Hyderabad
L1075,Lenovo IdeaPad 300-17ISK 8GB Refurbished good condition,Refurbished,428.35,Chennai
L0663,HP 15-ay047nv (i3-6006U/6GB/1TB/Radeon 6GB Like New good condition,Like New,431.2,Mumbai
L0024,HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10) 8GB Used good condition,Used,329.5,Bangalore
L0650,Asus ROG G701VI 32GB Like New good condition,Like New,2239.2,Chennai
L0003,Apple MacBook Pro 16GB Like New good condition,Like New,2029.96,Mumbai
L0595,Lenovo IdeaPad 110-15ISK 8GB Like New good condition,Like New,367.2,Bangalore
L1161,MSI GS40 Phantom 16GB Refurbished good condition,Refurbished,1149.85,Hyderabad
L1025,HP Elitebook 820 4GB Like New good condition,Like New,1247.2,Bangalore
L0571,HP 14-am079na (N3710/8GB/2TB/W10) 8GB Like New good condition,Like New,311.2,Hyderabad
L0144,HP 255 G6 4GB Refurbished good condition,Refurbished,239.85,Chennai
L0856,Asus X541NA (N4200/4GB/1TB/W10) 4GB Refurbished good condition,Refurbished,291.85,Hyderabad
L0120,Acer Spin 3 6GB Used good condition,Used,239.5,Mumbai
L0854,Asus K556UR-DM621T (i7-7500U/8GB/256GB/GeForce 8GB Like New good condition,Like New,629.6,Hyderabad
L0867,Lenovo ThinkPad Yoga 8GB Like New good condition,Like New,1560.0,Chennai
L0054,Acer Aspire 3 4GB Refurbished good condition,Refurbished,249.6,Mumbai
L1002,Dell Vostro 3568 4GB Like New good condition,Like New,437.6,Chennai
L0127,Asus E402WA-GA007T (E2-6110/4GB/64GB/W10 4GB Refurbished good condition,Refurbished,180.69,Bangalore
L1114,Lenovo Yoga Book 4GB Like New good condition,Like New,439.2,Mumbai
L1011,HP EliteBook 820 4GB Like New good condition,Like New,1231.2,Hyderabad
L0291,Asus FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce 8GB Used good condition,Used,593.5,Hyderabad
L0779,Asus Vivobook Max 8GB Like New good condition,Like New,465.52,Mumbai
L0828,Acer Chromebook 11 4GB Refurbished good condition,Refurbished,230.75,Mumbai
L0865,HP Probook 450 4GB Used good condition,Used,455.0,Bangalore
L0773,Dell Inspiron 7567 8GB Refurbished good condition,Refurbished,714.35,Mumbai
L0899,Dell Latitude 5580 8GB Like New good condition,Like New,748.0,Mumbai
L0735,Lenovo V310-15IKB (i7-7500U/4GB/1TB/FHD/W10) 4GB Used good condition,Used,389.5,Bangalore
L0512,Dell Vostro 5568 8GB Used good condition,Used,418.0,Bangalore
L0665,Toshiba Satellite Pro 4GB Like New good condition,Like New,398.4,Hyderabad
L0295,Lenovo Legion Y720-15IKB 8GB Used good condition,Used,649.5,Bangalore
L0119,Asus VivoBook S15 8GB Refurbished good condition,Refurbished,726.7,Chennai
L1217,Lenovo IdeaPad 320-17IKB 8GB Refurbished good condition,Refurbished,350.35,Hyderabad
L0208,Dell XPS 13 8GB Like New good condition,Like New,1159.2,Hyderabad
L0122,Lenovo IdeaPad 320-15IKBN 8GB Used good condition,Used,314.5,Hyderabad
L0929,HP ProBook 640 4GB Refurbished good condition,Refurbished,746.85,Bangalore
L0339,Dell Inspiron 7570 8GB Used good condition,Used,571.38,Bangalore
L0540,Dell XPS 13 8GB Like New good condition,Like New,1119.2,Mumbai
L0377,Dell Inspiron 3552 4GB Refurbished good condition,Refurbished,200.85,Bangalore
L1251,HP 255 G6 4GB Used good condition,Used,199.5,Bangalore
L0894,MSI GS73VR Stealth 16GB Used good condition,Used,1324.5,Mumbai
L0908,Lenovo IdeaPad Y700-15ISK 8GB Used good condition,Used,394.5,Hyderabad
L0938,Dell Latitude 7480 8GB Refurbished good condition,Refurbished,1065.35,Mumbai
L1106,MSI GE72 Apache 8GB Used good condition,Used,755.6,Bangalore
L1039,HP ProBook 440 8GB Used good condition,Used,505.25,Chennai
L0575,Mediacom SmartBook 141 4GB Used good condition,Used,124.5,Hyderabad
L0701,Lenovo IdeaPad 320-15AST 4GB Used good condition,Used,199.5,Mumbai
L1216,Acer E5 774G 4GB Used good condition,Used,299.0,Hyderabad
L1015,Toshiba Portege A30-C-1CZ 8GB Refurbished good condition,Refurbished,786.5,Mumbai
L0204,Dell Precision 7520 16GB Refurbished good condition,Refurbished,1985.75,Mumbai
L0501,HP 15-BS026nv (i5-7200U/8GB/256GB/Radeon 8GB Used good condition,Used,309.5,Hyderabad
L0195,HP ProBook 470 8GB Used good condition,Used,457.0,Mumbai
L0428,HP Omen 17-w207nv 12GB Used good condition,Used,999.5,Hyderabad
L0610,Lenovo Thinkpad P51 32GB Used good condition,Used,2449.5,Mumbai
L0580,Mediacom SmartBook Edge 4GB Like New good condition,Like New,311.2,Mumbai
L0306,HP EliteBook x360 16GB Like New good condition,Like New,1580.0,Mumbai
L0048,Dell Inspiron 3567 4GB Refurbished good condition,Refurbished,415.35,Bangalore
L0012,Apple MacBook Pro 16GB Refurbished good condition,Refurbished,1585.98,Bangalore
